Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Shares Outstanding,Market Cap,exchange_portion
2020-08-17 00:00:00-04:00,112.681289737707,121.22977689357654,110.64246982161713,120.74677276611328,835695200,0.0,0.0,14681140000,1772700275527.4963,0.056923045485568556
2020-08-24 00:00:00-04:00,124.9481820040376,125.03314177658036,119.46763966191315,121.17151641845705,1063638000,0.0,0.0,14681140000,1778935996551.6665,0.0724492784620268
2020-08-31 00:00:00-04:00,123.86325584695814,133.96027016204565,107.65947772486804,117.43611145019533,1167976600,0.0,4.0,14681140000,1724095993255.921,0.0795562606173635
2020-09-07 00:00:00-04:00,110.63031733752308,116.98950062479292,106.79539476122176,108.73712921142578,771441800,0.0,0.0,14681140000,1596385017151.0315,0.052546450752462004
2020-09-14 00:00:00-04:00,111.37791031964876,115.3681759622787,102.99931984136902,103.72747039794922,944587000,0.0,0.0,14681140000,1522837514758.1482,0.06434016704424861
2020-09-21 00:00:00-04:00,101.4944831391656,109.57209994946712,100.0964316542822,109.00899505615234,847212600,0.0,0.0,14681140000,1600376317678.6804,0.05770754859636241
2020-09-28 00:00:00-04:00,111.6594637446585,114.29051355685051,108.95074276136629,109.72743225097656,640562200,0.0,0.0,14681140000,1610923794717.102,0.043631638959917285
2020-10-05 00:00:00-04:00,110.59149589289332,113.59147224549314,108.97985264578294,113.56234741210938,548575100,0.0,0.0,14681140000,1667224721085.8154,0.03736597430444775
2020-10-12 00:00:00-04:00,116.56232279000989,121.7370471489666,114.70797014449786,115.55261993408205,881222300,0.0,0.0,14681140000,1696444190619.0493,0.0600241057574548
2020-10-19 00:00:00-04:00,116.46524906699216,116.91184716929769,110.950722097239,111.68858337402344,519569600,0.0,0.0,14681140000,1639715728915.7104,0.03539027623195474
2020-10-26 00:00:00-04:00,110.68858991204358,113.86332292367568,104.58183332192212,105.6886215209961,684467100,0.0,0.0,14681140000,1551629448956.7566,0.04662220372532378
2020-11-02 00:00:00-05:00,105.9313425624802,116.13516100622972,104.19348902834788,115.23225402832033,609571800,0.205,0.0,14681140000,1691740853905.3347,0.04152074021499693
2020-11-09 00:00:00-05:00,117.19134001042885,118.64042587157265,110.99624326568146,115.98538970947266,589577900,0.0,0.0,14681140000,1702797744279.3274,0.04015886368497269
2020-11-16 00:00:00-05:00,115.65472928143076,117.6678915586234,113.60266442159802,114.11811065673828,389493400,0.0,0.0,14681140000,1675383959087.067,0.02653018771021869
2020-11-23 00:00:00-05:00,113.96250620386785,114.39042718720874,109.49853322012304,113.38870239257812,365024000,0.0,0.0,14681140000,1664675414243.7744,0.024863464281384143
2020-11-30 00:00:00-05:00,113.75826586969768,120.3812760839216,113.60265555128775,118.8932876586914,543370600,0.0,0.0,14681140000,1745489001177.5208,0.037011471861176995
2020-12-07 00:00:00-05:00,118.9516290083991,122.4916818710511,116.8509418048038,119.04888916015624,452278700,0.0,0.0,14681140000,1747773408604.736,0.030806783396929667
2020-12-14 00:00:00-05:00,119.23368599636646,126.02203460054592,118.20279351976532,123.18221282958984,621538100,0.0,0.0,14681140000,1808455312061.005,0.04233581997038377
2020-12-21 00:00:00-05:00,121.58723177608869,130.71941055116142,120.06034070339108,128.34640502929688,433310200,0.0,0.0,14681140000,1884271540731.8115,0.029514751579237036
2020-12-28 00:00:00-05:00,130.31095413448807,134.97914551811755,128.1032788564328,129.04664611816406,441102200,0.0,0.0,14681140000,1894551878191.2231,0.03004550055377171
2021-01-04 00:00:00-05:00,129.85384791740108,129.94137316005856,122.90988929013784,128.42420959472656,610791200,0.0,0.0,14681140000,1885413800449.524,0.04160379916001074
